latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
32.183322,-90.2419,022,038,2418,2275,2025-09-22,1631,L9,high,D
32.337627,-90.236245,022,038,2453,1705,2025-09-22,1631,L9,high,D
32.337357,-90.236235,022,038,2453,1706,2025-09-22,1631,L9,high,D
32.444293,-90.232082,022,038,2478,1311,2025-09-22,1631,L9,medium,D
32.444301,-90.231763,022,038,2479,1311,2025-09-22,1631,L9,high,D
32.444031,-90.231753,022,038,2479,1312,2025-09-22,1631,L9,high,D
32.444309,-90.231444,022,038,2480,1311,2025-09-22,1631,L9,high,D
32.444039,-90.231435,022,038,2480,1312,2025-09-22,1631,L9,high,D
32.406815,-90.217035,022,038,2521,1451,2025-09-22,1631,L9,high,D
32.406545,-90.217026,022,038,2521,1452,2025-09-22,1631,L9,high,D
32.406823,-90.216717,022,038,2522,1451,2025-09-22,1631,L9,high,D
32.406553,-90.216707,022,038,2522,1452,2025-09-22,1631,L9,high,D
32.406283,-90.216697,022,038,2522,1453,2025-09-22,1631,L9,high,D
32.406831,-90.216398,022,038,2523,1451,2025-09-22,1631,L9,medium,D
32.406561,-90.216389,022,038,2523,1452,2025-09-22,1631,L9,high,D
32.31503,-90.135115,022,038,2768,1798,2025-09-22,1631,L9,high,D
32.255823,-90.12321,022,038,2799,2018,2025-09-22,1631,L9,high,D
32.255552,-90.123201,022,038,2799,2019,2025-09-22,1631,L9,high,D
32.255831,-90.122892,022,038,2800,2018,2025-09-22,1631,L9,high,D
32.25556,-90.122883,022,038,2800,2019,2025-09-22,1631,L9,high,D
32.157756,-90.118585,022,038,2803,2381,2025-09-22,1631,L9,high,D
32.157764,-90.118268,022,038,2804,2381,2025-09-22,1631,L9,high,D
31.552993,-90.083747,022,038,2849,4620,2025-09-22,1631,L9,high,D
31.553271,-90.08344,022,038,2850,4619,2025-09-22,1631,L9,medium,D
31.553001,-90.083431,022,038,2850,4620,2025-09-22,1631,L9,high,D
32.114522,-90.061497,022,038,2978,2546,2025-09-22,1631,L9,low,D
32.417737,-90.01622,022,038,3152,1429,2025-09-22,1631,L9,low,D
32.273183,-90.009832,022,038,3157,1964,2025-09-22,1631,L9,high,D
32.503592,-90.011425,022,038,3176,1112,2025-09-22,1631,L9,medium,D
31.207605,-89.919829,022,038,3334,5911,2025-09-22,1631,L9,high,D
32.415529,-89.938023,022,038,3397,1444,2025-09-22,1631,L9,high,D
32.390459,-89.911069,022,038,3479,1539,2025-09-22,1631,L9,high,D
32.391006,-89.910768,022,038,3480,1537,2025-09-22,1631,L9,high,D
32.390736,-89.910759,022,038,3480,1538,2025-09-22,1631,L9,medium,D
32.390466,-89.910751,022,038,3480,1539,2025-09-22,1631,L9,high,D
32.390196,-89.910742,022,038,3480,1540,2025-09-22,1631,L9,high,D
32.390473,-89.910432,022,038,3481,1539,2025-09-22,1631,L9,high,D
32.390203,-89.910424,022,038,3481,1540,2025-09-22,1631,L9,high,D
31.368149,-89.878439,022,038,3481,5321,2025-09-22,1631,L9,medium,D
31.367879,-89.878431,022,038,3481,5322,2025-09-22,1631,L9,medium,D
32.391021,-89.910131,022,038,3482,1537,2025-09-22,1631,L9,medium,D
32.390751,-89.910122,022,038,3482,1538,2025-09-22,1631,L9,high,D
32.390481,-89.910114,022,038,3482,1539,2025-09-22,1631,L9,high,D
31.368156,-89.878124,022,038,3482,5321,2025-09-22,1631,L9,high,D
31.367886,-89.878115,022,038,3482,5322,2025-09-22,1631,L9,high,D
31.367616,-89.878107,022,038,3482,5323,2025-09-22,1631,L9,medium,D
31.365183,-89.878033,022,038,3482,5332,2025-09-22,1631,L9,low,D
32.336971,-89.90808,022,038,3483,1737,2025-09-22,1631,L9,medium,D
32.336701,-89.908071,022,038,3483,1738,2025-09-22,1631,L9,high,D
32.33643,-89.908063,022,038,3483,1739,2025-09-22,1631,L9,medium,D
31.368434,-89.877817,022,038,3483,5320,2025-09-22,1631,L9,high,D
31.368163,-89.877809,022,038,3483,5321,2025-09-22,1631,L9,high,D
31.367893,-89.8778,022,038,3483,5322,2025-09-22,1631,L9,high,D
31.367623,-89.877792,022,038,3483,5323,2025-09-22,1631,L9,high,D
32.336978,-89.907762,022,038,3484,1737,2025-09-22,1631,L9,medium,D
32.336708,-89.907753,022,038,3484,1738,2025-09-22,1631,L9,high,D
31.36817,-89.877494,022,038,3484,5321,2025-09-22,1631,L9,high,D
31.3679,-89.877485,022,038,3484,5322,2025-09-22,1631,L9,high,D
31.36763,-89.877477,022,038,3484,5323,2025-09-22,1631,L9,medium,D
31.364948,-89.876449,022,038,3487,5333,2025-09-22,1631,L9,low,D
31.367928,-89.876225,022,038,3488,5322,2025-09-22,1631,L9,low,D
31.367658,-89.876217,022,038,3488,5323,2025-09-22,1631,L9,low,D
31.367388,-89.876209,022,038,3488,5324,2025-09-22,1631,L9,medium,D
